"# of Use","# de Uso"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Usar en la navegación por capas"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usar en la navegacion por capas<br/>(Puede ser usado s&oacute;lo con el tipo de entrada del cat&aacute;logo de men&uacute; 'Desplegable')"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","Usar para crear un Producto configurable"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","Usar rutas de categorías para la URL de los productos"
"Use in advanced search","Usar en búsqueda avanzada"
"Use in quick search","Usar en búsqueda rápida"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Utility","Utilidad"
"Values Required","Valores requeridos"
"Varchar","Varchar"
"Velocity CPU","Velocidad de CPU"
"Velocity Turbo CPU","Velocidad Turbo de CPU"
"View as","Ver como"
"Virtual Product","Virtual Product"
"Visibility","Visibilidad"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible en Catálogo y Tienda"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Marca de Agua"
"Watermark Default Size","Tamaño Marca de Agua por Defecto"
"Watermark Position","Posición Marca de Agua"
"We Also Recommend","We Also Recommend"
"Web Camara","WebCam"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Sitio Web"
"Websites","Sitios Web"
"Weight","Peso"
"Weight Package","Peso del paquete"
"Weight Unit Package","Medida de paquete"
"Weight Unit Ref","Medida"
"Width","Ancho"
"Width Package","Ancho del paquete"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Year Range"
"Yes","Sí"
"Yes/No","Sí/No"
"You cannot delete this attribute","No puede eliminar este atributo"
"You cannot edit this attribute","No puede editar este atributo"
"You cannot remove system attribute from this set.","No puede eliminar el atributo del sistema del conjunto."
"You cannot update this attribute","No puede actualizar el atributo"
"You have no items to compare.","No tiene artículos para comparar."
"You may also be interested in the following product(s)","Puede estar interesado en este(os) producto(s)"
"Zoom In","Ampliar"
"Zoom Out","Reducir"
"<span></span><p><strong>%s</strong> is added to your shopping cart.</p>","<span></span><p><strong>%s</strong> se ha agregado al carrito de compras.</p>"
"CONTINUE SHOPPING","CONTINUAR COMPRANDO"
"GO TO CART","IR AL CARRITO DE COMPRAS"
"Please wait...","Por favor espere..."
"We are updating Shopping Bag.","Estamos actualizando."
"Shirt Size","Talla"
"Shape","Silueta"
"Long","Largo"
"Collar","Cuello"
"Pattern","Patrón"
"%1$s has been added to your wishlist. Click <a href="%2$s">here</a> to continue shopping.","%1$s ha sido agregado a la lista de deseos. Haga clic <a href="%2$s">aca</a> para continuar comprando."
"Shop By","Filtar por"
"%s and above","%s y menos"
"and above","y menos"
